PRESSURE,HEIGTH,TEMP,DEWPT,WIND_DIR,WIND_SPD
1017,77,12.4,6.4,158,6
1015,105,11.9,5.9,163,7
1008,154,11.2,5.5,166,7
1000,228,10.5,5.2,170,7
999,235,10.4,5.2,170,7
984,353,9.3,4.8,173,7
965,507,7.8,4.1,180,8
944,691,6,3.6,182,9
925,862,4.3,3.1,183,10
921,899,3.9,3,183,10
894,1132,2.1,1.6,182,12
866,1395,-0.7,-0.7,177,13
850,1549,-1.1,-1.1,177,12
835,1695,-1.5,-1.5,177,11
799,2035,-1.4,-12.3,203,7
761,2420,-3.3,-15.9,235,10
722,2854,-5.6,-19.3,237,13
700,3093,-6.9,-20.7,235,14
678,3345,-8.3,-22.2,232,15
629,3898,-10.6,-28.8,237,17
581,4508,-15,-47.5,241,17
490,5138,-24.1,-31.2,264,28
452,5607,-27,-29.6,286,37
416,5755,-31.5,-35.3,296,34
400,6350,-33.7,-38.2,297,33
385,6921,-36,-41.1,298,32
357,7193,-39.7,-45.2,300,40
331,7468,-43,-48.2,301,54
309,7991,-46.1,-50.8,301,69
300,8491,-47.4,-52.3,301,74
288,8968,-49.3,-54.5,300,81
270,9152,-52.5,-57.4,299,91
253,9422,-55.6,-59.2,299,96
250,9855,-56.1,-59.8,299,96
237,10273,-58.1,-62.2,300,97
223,10347,-59.4,-64.8,302,92
209,10675,-59.7,-66.8,305,82
195,11071,-59.6,-68.5,309,69
181,11482,-59.6,-70.5,312,56
166,11921,-59.3,-73.3,309,48
152,12395,-58.1,-76.9,304,44
150,12907,-57.9,-77.5,304,43
138,13468,-57,-80.8,302,40
124,13558,-56.7,-84.3,302,36
110,14087,-56.6,-86.5,301,31
100,14775,-56.2,-86.9,300,28
95,15549,-56,-87.1,299,26
82,16117,-56.2,-86.8,296,17
72,16415,-57,-86.6,291,12
70,17326,-56.8,-86.6,289,11
63,18202,-56.2,-86.4,282,8
55,18358,-56.2,-86.5,246,4
50,19040,-56.2,-86.5,243,3
48,19904,-56.2,-86.5,241,2
41,20510,-55.4,-86.4,145,3
34,20832,-54.7,-86.3,131,5
28,21838,-53.8,-86.5,125,6
23,22945,-53.1,-87.3,100,6
17,24195,-51.2,-88.4,66,6
12,25639,-47.4,-89.9,8,7
,89800,,,,
,97182,,,,
