"2017-01-07 20:00:00","2017-01-07 20:00:00","REFC","entire atmosphere",-121.691,48.169,-10
"2017-01-07 20:00:00","2017-01-07 20:00:00","VIS","surface",-121.691,48.169,31904.2
"2017-01-07 20:00:00","2017-01-07 20:00:00","REFD","1000 m above ground",-121.691,48.169,-10
"2017-01-07 20:00:00","2017-01-07 20:00:00","REFD","4000 m above ground",-121.691,48.169,-10
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","planetary boundary layer",-121.691,48.169,288.324
"2017-01-07 20:00:00","2017-01-07 20:00:00","GUST","surface",-121.691,48.169,15.8623
"2017-01-07 20:00:00","2017-01-07 20:00:00","RETOP","entire atmosphere (considered as a single layer)",-121.691,48.169,-5000
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","100 mb",-121.691,48.169,15809.9
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","100 mb",-121.691,48.169,214.549
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","100 mb",-121.691,48.169,1.19062
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","100 mb",-121.691,48.169,-0.0765661
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","100 mb",-121.691,48.169,30.182
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","100 mb",-121.691,48.169,-1.27074
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","125 mb",-121.691,48.169,14410.1
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","125 mb",-121.691,48.169,214.252
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","125 mb",-121.691,48.169,1.28558
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","125 mb",-121.691,48.169,-0.0749381
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","125 mb",-121.691,48.169,31.0069
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","125 mb",-121.691,48.169,1.21349
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","150 mb",-121.691,48.169,13269.5
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","150 mb",-121.691,48.169,213.312
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","150 mb",-121.691,48.169,2.83807
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","150 mb",-121.691,48.169,-0.0154138
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","150 mb",-121.691,48.169,32.1201
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","150 mb",-121.691,48.169,3.13909
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","175 mb",-121.691,48.169,12310.7
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","175 mb",-121.691,48.169,211.769
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","175 mb",-121.691,48.169,7.47006
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","175 mb",-121.691,48.169,0.0600543
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","175 mb",-121.691,48.169,32.4126
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","175 mb",-121.691,48.169,6.29323
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","200 mb",-121.691,48.169,11485.8
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","200 mb",-121.691,48.169,210.534
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","200 mb",-121.691,48.169,17.9611
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","200 mb",-121.691,48.169,0.0997597
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","200 mb",-121.691,48.169,31.9084
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","200 mb",-121.691,48.169,11.0623
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","225 mb",-121.691,48.169,10760.2
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","225 mb",-121.691,48.169,210.831
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","225 mb",-121.691,48.169,28.4797
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","225 mb",-121.691,48.169,0.0805761
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","225 mb",-121.691,48.169,32.1344
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","225 mb",-121.691,48.169,14.7364
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","250 mb",-121.691,48.169,10107.2
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","250 mb",-121.691,48.169,213.154
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","250 mb",-121.691,48.169,44.1454
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","250 mb",-121.691,48.169,0.00771952
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","250 mb",-121.691,48.169,35.6334
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","250 mb",-121.691,48.169,19.2588
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","275 mb",-121.691,48.169,9508.44
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","275 mb",-121.691,48.169,216.374
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","275 mb",-121.691,48.169,47.5944
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","275 mb",-121.691,48.169,-0.0415847
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","275 mb",-121.691,48.169,36.6236
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","275 mb",-121.691,48.169,21.6718
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","300 mb",-121.691,48.169,8952.63
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","300 mb",-121.691,48.169,220.493
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","300 mb",-121.691,48.169,50.4858
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","300 mb",-121.691,48.169,-0.174702
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","300 mb",-121.691,48.169,33.9644
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","300 mb",-121.691,48.169,20.4133
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","325 mb",-121.691,48.169,8431.25
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","325 mb",-121.691,48.169,224.957
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","325 mb",-121.691,48.169,58.2947
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","325 mb",-121.691,48.169,-0.28448
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","325 mb",-121.691,48.169,29.9641
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","325 mb",-121.691,48.169,17.5951
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","350 mb",-121.691,48.169,7938.98
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","350 mb",-121.691,48.169,229.23
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","350 mb",-121.691,48.169,66.3562
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","350 mb",-121.691,48.169,-0.4007
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","350 mb",-121.691,48.169,26.8155
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","350 mb",-121.691,48.169,15.1007
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","375 mb",-121.691,48.169,7472.15
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","375 mb",-121.691,48.169,233.281
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","375 mb",-121.691,48.169,69.524
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","375 mb",-121.691,48.169,-0.520179
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","375 mb",-121.691,48.169,25.2287
